"Keyword"	"SERP features"	"Volume"	"KD"	"CPC"	"Previous organic traffic"	"Current organic traffic"	"Organic traffic change"	"Current paid traffic"	"Previous position"	"Current position"	"Position change"	"Previous URL inside"	"Previous URL"	"Current URL inside"	"Current URL"	"Previous date"	"Current date"
"pescatarian keto food list"	"People also ask, Image pack, Top stories, Thumbnail, Sitelinks"	"40"	"11"	""	"15"	"15"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/pescatarian-keto-diet/"	""	"https://perfectketo.com/pescatarian-keto-diet/"	"2023-02-19 17:26:44"	"2023-04-13 19:36:50"
"how long can you stay in ketosis safely"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"200"	"23"	""	"12"	"15"	"3"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/how-long-should-you-do-keto/"	""	"https://perfectketo.com/how-long-should-you-do-keto/"	"2023-02-28 11:50:03"	"2023-04-23 09:51:14"
"keto stomach cramps"	"People also ask, Sitelinks"	"50"	"21"	"1.87"	"15"	"15"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/why-ketones-cause-stomach-pain/"	""	"https://perfectketo.com/why-ketones-cause-stomach-pain/"	"2023-02-04 22:29:47"	"2023-04-24 01:42:20"
"keto erythritol"	"People also ask, Videos, Sitelinks, Shopping results, Thumbnail, Image pack"	"80"	"40"	""	"15"	"15"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/erythritol-keto-sweetener/"	""	"https://perfectketo.com/erythritol-keto-sweetener/"	"2023-02-05 05:21:47"	"2023-04-25 23:34:24"
"low calorie keto snacks"	"People also ask, Top stories, Thumbnail, Shopping results, Sitelinks"	"300"	"36"	"1.23"	"8"	"15"	"7"	"0"	"10"	"7"	"3"	""	"https://perfectketo.com/ultimate-healthy-keto-snack-list/"	""	"https://perfectketo.com/keto-snacks/"	"2023-02-06 15:28:48"	"2023-04-27 13:26:47"
"how to read ketone strips"	"Featured snippet, Thumbnail, People also ask, Videos, Sitelinks, Video preview"	"500"	"20"	"0.00"	"15"	"15"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/ketone-strips-color-chart/"	""	"https://perfectketo.com/ketone-strips-color-chart/"	"2023-02-25 13:37:25"	"2023-04-23 02:48:18"
"keto macro goals"	"Sitelinks, Videos"	"300"	"40"	""	"8"	"15"	"7"	"0"	"8"	"5"	"3"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-25 04:51:14"	"2023-04-18 16:37:28"
"keto friendly fast food options"	"Adwords top, Adwords sitelink, Image pack, Sitelinks, Videos, Top stories, Thumbnail"	"250"	"33"	""	"1"	"15"	"14"	"0"	"20"	"6"	"14"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-02-26 19:14:14"	"2023-04-19 03:20:30"
"keto bacon wrapped asparagus"	"Top stories, Thumbnail, Sitelinks, Video preview"	"70"	"8"	""	"15"	"15"	"0"	"0"	"1"	"1"	""	"Top stories"	"https://perfectketo.com/keto-bacon-wrapped-asparagus/"	"Top stories"	"https://perfectketo.com/keto-bacon-wrapped-asparagus/"	"2023-02-25 08:15:57"	"2023-04-19 06:16:54"
"calculate macros for keto"	"People also ask, Videos, Image pack"	"100"	"51"	""	"12"	"15"	"3"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-26 19:56:47"	"2023-04-20 18:09:17"
"what's wrong with canola oil"	"People also ask, Video preview"	"150"	"62"	"0.00"	"15"	"15"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/canola-oil/"	""	"https://perfectketo.com/canola-oil/"	"2023-02-06 13:53:55"	"2023-04-27 17:29:47"
"fast food on keto"	"Sitelinks, Image pack, Videos, Video preview"	"200"	"33"	"0.00"	"1"	"15"	"14"	"0"	"17"	"4"	"13"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-02-26 00:09:43"	"2023-04-19 05:37:05"
"keto mojo calculator"	"Sitelinks, Image pack"	"100"	"3"	""	"15"	"15"	"0"	"0"	"2"	"2"	""	""	"https://perfectketo.com/glucose-ketone-index-calculator/"	""	"https://perfectketo.com/glucose-ketone-index-calculator/"	"2023-02-24 05:32:55"	"2023-04-18 03:35:49"
"can you eat asparagus on keto"	"Top stories, Thumbnail, Videos, Image pack"	"100"	"10"	""	"5"	"15"	"10"	"0"	"7"	"2"	"5"	""	"https://perfectketo.com/is-asparagus-keto/"	""	"https://perfectketo.com/is-asparagus-keto/"	"2023-02-24 14:50:15"	"2023-04-17 23:58:16"
"acai bowl carbs"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks"	"200"	"3"	""	"19"	"15"	"-4"	"0"	"4"	"5"	"-1"	""	"https://perfectketo.com/acai-bowl-nutrition/"	""	"https://perfectketo.com/acai-bowl-nutrition/"	"2023-02-12 07:46:45"	"2023-04-08 02:57:03"
"keto and exercise"	"People also ask, Sitelinks, Video preview"	"450"	"30"	"0.34"	"19"	"15"	"-4"	"0"	"7"	"8"	"-1"	""	"https://perfectketo.com/how-to-exercise-in-ketosis/"	""	"https://perfectketo.com/how-to-exercise-in-ketosis/"	"2023-02-05 06:31:03"	"2023-04-26 06:34:46"
"best keto pasta noodles"	"Featured snippet, Thumbnail, People also ask, Top stories, Shopping results, Video preview, Image pack"	"40"	"15"	""	"0"	"15"	"15"	"0"	"63"	"1"	"62"	""	"https://perfectketo.com/low-carb-pasta-substitutes/"	"Featured snippet"	"https://perfectketo.com/best-low-carb-pasta-and-noodles/"	"2023-02-11 06:53:41"	"2023-05-01 02:00:21"
"do you poop a lot on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"40"	"10"	""	"15"	"15"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/keto-poop/"	"Featured snippet"	"https://perfectketo.com/keto-poop/"	"2023-02-09 06:32:31"	"2023-04-30 23:17:32"
"is peanut oil keto friendly"	"Featured snippet, Thumbnail, People also ask, Top stories"	"40"	"0"	""	"15"	"15"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/is-peanut-oil-healthy/"	"Featured snippet"	"https://perfectketo.com/is-peanut-oil-healthy/"	"2023-02-09 15:46:36"	"2023-04-29 17:27:25"
"how much weight can i lose on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"250"	"43"	""	"12"	"15"	"3"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	""	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	"2023-02-13 15:00:55"	"2023-04-09 02:39:35"
"diarrhea after not eating for 3 days"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"300"	"35"	""	""	"15"	""	"0"	""	"7"	"New"	""	""	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"2023-04-29 07:02:12"
"keto cutting diet"	"People also ask, Videos, Sitelinks, Image pack"	"60"	"18"	""	"15"	"15"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/how-to-cut/"	""	"https://perfectketo.com/how-to-cut/"	"2023-02-27 15:11:07"	"2023-04-22 01:11:39"
"free keto macro calculator"	"People also ask"	"350"	"56"	""	"12"	"15"	"3"	"0"	"9"	"8"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-03-01 08:51:21"	"2023-04-28 17:49:04"
"cheap keto"	"People also ask, Sitelinks, Image pack"	"450"	"33"	"0.44"	"9"	"15"	"5"	"0"	"12"	"10"	"2"	""	"https://perfectketo.com/keto-on-a-budget/"	""	"https://perfectketo.com/keto-on-a-budget/"	"2023-02-09 16:41:39"	"2023-04-29 11:36:49"
"can intermittent fasting cause diarrhea"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"200"	"10"	""	"23"	"15"	"-8"	"0"	"3"	"5"	"-2"	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-06 04:55:03"	"2023-04-25 17:42:57"
"zero carb food list printable"	"Image pack, Sitelinks, Top stories, Thumbnail"	"250"	"28"	""	"9"	"15"	"5"	"0"	"8"	"6"	"2"	""	"https://perfectketo.com/low-carb-food-list-printable/"	""	"https://perfectketo.com/low-carb-food-list-printable/"	"2023-03-01 19:43:25"	"2023-04-19 04:15:03"
"potassium keto"	"People also ask"	"200"	"21"	"0.00"	"15"	"15"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/potassium-rich-foods/"	""	"https://perfectketo.com/potassium-rich-foods/"	"2023-03-01 16:53:06"	"2023-04-23 03:21:49"
"how long does ketosis breath last"	"Sitelinks"	"150"	"28"	"0.00"	"12"	"15"	"3"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/keto-breath/"	""	"https://perfectketo.com/keto-breath/"	"2023-02-26 11:15:20"	"2023-04-19 06:50:16"
"free keto diet plan pdf"	"Video preview"	"300"	"22"	""	"15"	"15"	"0"	"0"	"7"	"7"	""	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	"2023-02-18 06:32:53"	"2023-04-13 02:47:06"
"1200 calorie ketogenic diet"	"People also ask, Sitelinks"	"200"	"21"	""	"12"	"15"	"3"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/1200-calorie-meal-plan/"	""	"https://perfectketo.com/1200-calorie-meal-plan/"	"2023-02-27 04:16:52"	"2023-04-20 06:28:02"
"eggplant carbs"	"People also ask, Knowledge panel, Top stories, Thumbnail, Sitelinks, Video preview"	"3700"	"11"	"0.00"	"18"	"15"	"-4"	"0"	"11"	"12"	"-1"	""	"https://perfectketo.com/eggplant-keto/"	""	"https://perfectketo.com/eggplant-keto/"	"2023-02-25 17:14:09"	"2023-04-30 22:18:40"
"low carb takeout near me"	"People also ask, Local teaser, Sitelinks, Top stories, Thumbnail"	"150"	"45"	""	"15"	"15"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-02-11 19:23:25"	"2023-05-01 00:38:36"
"aspartame and keto"	"Sitelinks, Videos, Image pack, Video preview"	"100"	"19"	""	"12"	"15"	"3"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/diet-soda-keto/"	""	"https://perfectketo.com/diet-soda-keto/"	"2023-02-18 16:28:39"	"2023-04-13 00:57:52"
"keto bbq sides"	"Top stories, Thumbnail, People also ask"	"400"	"6"	""	"8"	"15"	"7"	"0"	"12"	"9"	"3"	""	"https://perfectketo.com/keto-bbq-sides/"	""	"https://perfectketo.com/keto-bbq-sides/"	"2023-02-24 08:44:27"	"2023-04-21 17:46:20"
"does champagne have carbs"	"Knowledge panel, Sitelinks, Top stories, Thumbnail"	"200"	"11"	""	"9"	"15"	"5"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	"2023-02-24 22:28:33"	"2023-04-18 03:01:17"
"canola oil bad"	"Featured snippet, Thumbnail, People also ask, Video preview, Top stories"	"1200"	"62"	"0.15"	"24"	"15"	"-9"	"0"	"7"	"8"	"-1"	""	"https://perfectketo.com/canola-oil/"	""	"https://perfectketo.com/canola-oil/"	"2023-02-06 18:09:18"	"2023-04-27 10:52:05"
"keto champagne"	"Sitelinks, Top stories, Thumbnail, Image pack, Video preview"	"250"	"14"	""	"12"	"15"	"3"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	"2023-02-20 05:31:55"	"2023-04-14 10:01:25"
"ketosis drink"	"People also ask, Sitelinks, Top stories, Thumbnail, Video preview"	"250"	"28"	""	"9"	"15"	"6"	"0"	"5"	"5"	""	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-06 06:14:44"	"2023-04-25 21:30:10"
"keto diet stomach pain"	"People also ask, Image pack"	"40"	"20"	"25.05"	"15"	"15"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/why-ketones-cause-stomach-pain/"	""	"https://perfectketo.com/why-ketones-cause-stomach-pain/"	"2023-02-11 05:10:04"	"2023-05-01 05:27:30"
"keto sources of potassium"	"People also ask, Sitelinks, Image pack"	"40"	"10"	""	"6"	"15"	"9"	"0"	"2"	"1"	"1"	""	"https://perfectketo.com/potassium-rich-foods/"	""	"https://perfectketo.com/potassium-rich-foods/"	"2023-02-18 18:16:45"	"2023-04-13 01:49:03"
"keto lactose intolerant"	"People also ask, Sitelinks, Video preview"	"40"	"9"	""	"5"	"15"	"10"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/keto-dairy/"	""	"https://perfectketo.com/keto-dairy/"	"2023-02-08 12:32:31"	"2023-04-29 08:42:25"
"keto diet for seniors"	"Sitelinks, Image pack, Video preview"	"300"	"14"	""	"15"	"15"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/ketosis-for-seniors/"	""	"https://perfectketo.com/ketosis-for-seniors/"	"2023-02-25 10:16:51"	"2023-04-19 17:32:37"
"carb free cereal"	"People also ask, Shopping results, Thumbnail, Sitelinks, Video preview"	"200"	"28"	"0.55"	"15"	"15"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/best-low-carb-cereal/"	""	"https://perfectketo.com/best-low-carb-cereal/"	"2023-02-23 23:59:16"	"2023-04-17 21:00:31"
"how many carbs are in egg noodles"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks"	"400"	"5"	"0.00"	"35"	"14"	"-21"	"0"	"4"	"8"	"-4"	""	"https://perfectketo.com/are-egg-noodles-low-carb/"	""	"https://perfectketo.com/are-egg-noodles-low-carb/"	"2023-02-13 22:11:08"	"2023-04-07 23:03:08"
"can you use splenda on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Videos"	"150"	"24"	""	"14"	"14"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/splenda-keto/"	""	"https://perfectketo.com/splenda-keto/"	"2023-02-19 05:31:41"	"2023-04-14 02:40:08"
"keto drive thru"	"Image pack, Video preview, Sitelinks"	"100"	"40"	""	"12"	"14"	"3"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-02-25 20:09:58"	"2023-04-19 14:52:06"
"low energy on keto"	"People also ask, Sitelinks"	"150"	"9"	"0.40"	"14"	"14"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/why-am-i-feeling-tired-on-keto/"	""	"https://perfectketo.com/why-am-i-feeling-tired-on-keto/"	"2023-02-27 08:38:04"	"2023-04-20 19:06:50"
"are sunflower seeds keto friendly"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video preview"	"200"	"3"	""	"14"	"14"	"0"	"0"	"5"	"5"	""	""	"https://perfectketo.com/are-sunflower-seeds-keto/"	""	"https://perfectketo.com/are-sunflower-seeds-keto/"	"2023-02-06 14:24:35"	"2023-04-25 04:21:37"
"is flour keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Videos, Top stories, Image pack"	"200"	"23"	""	"18"	"14"	"-4"	"0"	"4"	"5"	"-1"	""	"https://perfectketo.com/is-flour-low-carb/"	""	"https://perfectketo.com/is-flour-low-carb/"	"2023-02-18 21:21:09"	"2023-04-12 16:34:16"
"is ezekiel bread keto friendly"	"Top stories, Thumbnail, Image pack"	"100"	"11"	""	"11"	"14"	"3"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/is-bread-low-carb-friendly/"	""	"https://perfectketo.com/is-bread-low-carb-friendly/"	"2023-02-21 12:53:47"	"2023-04-14 21:08:53"
"dry fasting autophagy"	"Sitelinks"	"70"	"5"	""	"12"	"14"	"3"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/dry-fasting/"	""	"https://perfectketo.com/dry-fasting/"	"2023-02-22 11:57:04"	"2023-04-15 09:43:08"
"are kind bars good for weight loss"	"Featured snippet, People also ask, Image pack"	"150"	"9"	""	"14"	"14"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/are-kind-bars-healthy/"	""	"https://perfectketo.com/are-kind-bars-healthy/"	"2023-02-17 12:46:20"	"2023-04-11 16:39:23"
"is oatmeal keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Videos, Top stories, Video preview, Image pack"	"2600"	"22"	""	"11"	"14"	"3"	"0"	"14"	"13"	"1"	""	"https://perfectketo.com/is-oatmeal-low-carb/"	""	"https://perfectketo.com/is-oatmeal-low-carb/"	"2023-03-01 10:48:42"	"2023-04-26 10:07:04"
"macros calculator keto"	"People also ask, Videos, Image pack"	"150"	"54"	""	"11"	"14"	"3"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-07 01:09:16"	"2023-04-27 18:10:26"
"macro calculator low carb"	"People also ask, Image pack"	"450"	"69"	""	"7"	"14"	"7"	"0"	"12"	"9"	"3"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-27 07:06:52"	"2023-04-20 12:49:04"
"grapefruit keto"	"People also ask, Videos, Sitelinks, Top stories, Thumbnail, Video preview"	"350"	"2"	""	"18"	"14"	"-4"	"0"	"6"	"7"	"-1"	""	"https://perfectketo.com/grapefruit-weight-loss/"	""	"https://perfectketo.com/grapefruit-weight-loss/"	"2023-02-26 18:55:51"	"2023-04-24 21:08:03"
"can you eat cauliflower rice on keto?"	"Featured snippet, Thumbnail, People also ask, Top stories, Videos, Sitelinks, Video preview"	"100"	"14"	""	""	"14"	""	"0"	""	"3"	"New"	""	""	""	"https://perfectketo.com/is-cauliflower-rice-keto/"	""	"2023-04-08 16:31:49"
"keto potluck"	"Top stories, Thumbnail, People also ask, Sitelinks"	"100"	"10"	""	"18"	"14"	"-4"	"0"	"2"	"3"	"-1"	""	"https://perfectketo.com/keto-potluck-ideas/"	""	"https://perfectketo.com/keto-potluck-ideas/"	"2023-02-17 22:24:59"	"2023-04-12 01:28:48"
"what are ketones drinks"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview, Top stories"	"150"	"12"	""	"18"	"14"	"-4"	"0"	"3"	"4"	"-1"	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-23 21:54:54"	"2023-04-28 16:48:15"
"best antioxidant drink"	"Shopping results, Thumbnail, Video preview, Top stories"	"150"	"12"	"1.71"	""	"14"	""	"0"	""	"2"	"New"	""	""	""	"https://perfectketo.com/best-antioxidant-drinks/"	""	"2023-04-17 20:46:50"
"keto high protein"	"Sitelinks, Videos, Top stories, Thumbnail"	"350"	"47"	""	"18"	"14"	"-4"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/how-too-much-protein-is-bad-for-ketosis/"	""	"https://perfectketo.com/how-too-much-protein-is-bad-for-ketosis/"	"2023-02-24 17:28:07"	"2023-04-18 01:42:36"
"low carb macros"	"People also ask, Sitelinks"	"1100"	"43"	"1.03"	"6"	"14"	"8"	"0"	"16"	"12"	"4"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/macros-for-weight-loss/"	"2023-02-24 11:39:31"	"2023-05-01 21:42:34"
"what does keto breath taste like"	"Featured snippet, Thumbnail, People also ask"	"150"	"8"	""	"11"	"14"	"3"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/keto-breath/"	""	"https://perfectketo.com/keto-breath/"	"2023-02-19 20:33:17"	"2023-04-13 19:08:35"
"is gatorade keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"150"	"5"	""	"14"	"14"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/is-gatorade-zero-keto/"	""	"https://perfectketo.com/is-gatorade-zero-keto/"	"2023-02-27 05:40:15"	"2023-04-20 14:42:29"
"coconut cream keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Video preview"	"200"	"18"	""	"14"	"14"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/coconut-cream/"	""	"https://perfectketo.com/coconut-cream/"	"2023-02-23 05:04:21"	"2023-04-17 14:24:26"
"keto canned food"	"Shopping results, Thumbnail, Sitelinks, Image pack, Video preview, Top stories"	"40"	"4"	""	"14"	"14"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/best-canned-food-for-prepping/"	""	"https://perfectketo.com/best-canned-food-for-prepping/"	"2023-02-14 13:48:49"	"2023-04-09 17:17:32"
"is soybean oil bad"	"Featured snippet, Thumbnail, People also ask"	"1000"	"32"	"3.06"	"18"	"14"	"-4"	"0"	"11"	"12"	"-1"	""	"https://perfectketo.com/soybean-oil/"	""	"https://perfectketo.com/soybean-oil/"	"2023-02-13 15:53:44"	"2023-04-28 00:59:10"
"alternate day fasting keto"	"People also ask, Videos, Sitelinks, Video preview, Image pack"	"40"	"33"	""	"5"	"14"	"10"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/alternate-day-fasting/"	""	"https://perfectketo.com/alternate-day-fasting/"	"2023-02-09 08:17:04"	"2023-04-30 00:35:48"
"xylitol keto friendly"	"Videos, Sitelinks, Image pack"	"40"	"37"	""	"5"	"14"	"10"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/xylitol/"	""	"https://perfectketo.com/xylitol/"	"2023-02-24 17:55:20"	"2023-04-18 00:25:20"
"keto alternative to cornstarch"	"Sitelinks, Top stories, Thumbnail, Video preview"	"40"	"11"	""	"14"	"14"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	"2023-02-23 08:07:24"	"2023-04-17 21:13:09"
"keto restart"	"Sitelinks, Image pack"	"40"	"21"	""	"14"	"14"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/cheating-on-keto/"	""	"https://perfectketo.com/cheating-on-keto/"	"2023-02-23 06:31:35"	"2023-04-17 23:43:52"
"breadcrumb substitute keto"	"People also ask, Top stories, Thumbnail, Sitelinks, Image pack"	"40"	"14"	""	"3"	"14"	"11"	"0"	"5"	"1"	"4"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	"2023-02-11 17:53:35"	"2023-05-02 08:27:21"
"best protein foods for weight loss"	"Sitelinks, Video preview, Top stories, Thumbnail"	"400"	"70"	"2.84"	"11"	"14"	"3"	"0"	"9"	"8"	"1"	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	"2023-02-23 02:51:24"	"2023-04-19 12:20:11"
"exercising on keto"	"Sitelinks, Image pack"	"450"	"23"	""	"14"	"14"	"0"	"0"	"8"	"8"	""	""	"https://perfectketo.com/how-to-exercise-in-ketosis/"	""	"https://perfectketo.com/how-to-exercise-in-ketosis/"	"2023-02-23 10:02:46"	"2023-04-17 17:56:09"
"can i have popcorn on keto"	"Top stories, Thumbnail, Videos, Sitelinks"	"350"	"20"	""	"11"	"14"	"3"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-02-26 21:28:45"	"2023-04-19 04:37:19"
"l arginine and l citrulline before bed"	"People also ask, Sitelinks"	"300"	"9"	"1.01"	"17"	"14"	"-3"	"0"	"6"	"7"	"-1"	""	"https://perfectketo.com/benefits-of-l-citrulline/"	""	"https://perfectketo.com/benefits-of-l-citrulline/"	"2023-03-01 22:14:32"	"2023-04-27 04:09:19"
"pasta alternatives keto"	"Top stories, Thumbnail, Shopping results, Video preview"	"200"	"19"	""	"9"	"14"	"5"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/low-carb-pasta-substitutes/"	""	"https://perfectketo.com/best-low-carb-pasta-and-noodles/"	"2023-02-25 21:32:30"	"2023-04-18 09:49:45"
"can you eat tortillas on keto"	"Top stories, Thumbnail, Sitelinks, Image pack"	"100"	"12"	""	"11"	"14"	"3"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/are-tortillas-low-carb/"	""	"https://perfectketo.com/are-tortillas-low-carb/"	"2023-02-19 02:34:29"	"2023-04-13 16:16:36"
"drink ketones"	"People also ask, Sitelinks, Video preview, Top stories, Thumbnail"	"400"	"24"	""	"17"	"14"	"-3"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-27 20:24:12"	"2023-05-01 23:26:31"
"is cabbage a carb"	"Knowledge panel, Top stories, Thumbnail"	"200"	"30"	"0.09"	"11"	"14"	"3"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/carbs-in-cabbage/"	""	"https://perfectketo.com/carbs-in-cabbage/"	"2023-02-23 11:53:42"	"2023-04-17 19:20:19"
"how much mct oil per day on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories"	"150"	"6"	""	"11"	"14"	"3"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/how-much-mct-should-i-take-per-day/"	""	"https://perfectketo.com/how-much-mct-should-i-take-per-day/"	"2023-02-08 08:31:28"	"2023-04-28 12:46:03"
"keto books"	"Shopping results, Thumbnail, Sitelinks, People also ask"	"700"	"15"	"0.65"	"17"	"14"	"-3"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/best-keto-diet-books/"	""	"https://perfectketo.com/best-keto-diet-books/"	"2023-02-24 01:43:42"	"2023-04-29 16:23:23"
"keto macro calculator free"	"Adwords top, Sitelinks, People also ask"	"350"	"48"	""	"15"	"14"	"-1"	"0"	"8"	"8"	""	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-13 18:09:36"	"2023-04-08 22:29:50"
"does rice have a lot of carbs"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories"	"450"	"48"	"0.00"	"14"	"14"	"0"	"0"	"6"	"6"	""	""	"https://perfectketo.com/is-rice-low-carb-friendly/"	""	"https://perfectketo.com/is-rice-low-carb-friendly/"	"2023-02-25 14:58:53"	"2023-04-22 08:41:05"
"keto cauliflower mac and cheese"	"Top stories, Thumbnail, Sitelinks, Video preview"	"3400"	"35"	""	"13"	"14"	"1"	"0"	"19"	"18"	"1"	""	"https://perfectketo.com/keto-cauliflower-mac-and-cheese/"	""	"https://perfectketo.com/keto-cauliflower-mac-and-cheese/"	"2023-03-01 00:24:03"	"2023-05-01 13:32:04"
"modified ketogenic diet"	"People also ask, Sitelinks, Video preview"	"30"	"7"	"0.65"	"14"	"14"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/modified-keto-diet/"	""	"https://perfectketo.com/modified-keto-diet/"	"2023-02-22 04:20:49"	"2023-04-17 20:29:55"
"keto cracker alternatives"	"Top stories, Thumbnail, Image pack"	"40"	"19"	""	"14"	"14"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/low-carb-cracker-substitute/"	""	"https://perfectketo.com/low-carb-cracker-substitute/"	"2023-02-22 04:08:56"	"2023-04-15 07:34:57"
